SEQ,TX_TIME_US,RX_TIME_US,LATENCY_US,JITTER_US
0,8116431,8117573,1142,0
1,8167032,8168161,1129,13
2,8217632,8218778,1146,17
3,8268232,8269379,1147,1
4,8318833,8319960,1127,20
5,8369433,8370565,1132,5
6,8420034,8421173,1139,7
7,8470634,8471770,1136,3
8,8521235,8522383,1148,12
9,8571835,8572955,1120,28
10,8622335,8623472,1137,17
11,8672936,8674061,1125,12
12,8723436,8724570,1134,9
13,8774037,8775166,1129,5
14,8824537,8825667,1130,1
15,8875038,8876156,1118,12
16,8925538,8926657,1119,1
17,8976039,8977169,1130,11
18,9026539,9027662,1123,7
19,9077039,9078195,1156,33
20,9127640,9128764,1124,32
21,9178240,9179381,1141,17
22,9228841,9229969,1128,13
23,9279441,9280558,1117,11
24,9329942,9331079,1137,20
25,9380542,9381679,1137,0
26,9431143,9432272,1129,8
27,9481643,9482773,1130,1
28,9532143,9533262,1119,11
29,9582644,9583778,1134,15
30,9633244,9634383,1139,5
31,9683845,9684976,1131,8
32,9734445,9735577,1132,1
33,9785045,9786178,1133,1
34,9835646,9836782,1136,3
35,9886246,9887379,1133,3
36,9936847,9937984,1137,4
37,9987447,9988569,1122,15
38,10037948,10039077,1129,7
39,10088448,10089578,1130,1
40,10138948,10140075,1127,3
41,10189549,10190671,1122,5
42,10240049,10241188,1139,17
43,10290650,10291781,1131,8
44,10341250,10342386,1136,5
45,10391850,10392974,1124,12
46,10442351,10443491,1140,16
47,10492951,10494092,1141,1
48,10543552,10544705,1153,12
49,10594152,10595273,1121,32
50,10644653,10645770,1117,4
51,10695153,10696275,1122,5
52,10745654,10746796,1142,20
53,10796254,10797389,1135,7
54,10846854,10847989,1135,0
55,10897455,10898585,1130,5
56,10948055,10949174,1119,11
57,10998556,10999675,1119,0
58,11049056,11050184,1128,9
59,11099557,11100673,1116,12
60,11150057,11151181,1124,8
61,11200557,11201694,1137,13
62,11251158,11252287,1129,8
63,11301758,11302887,1129,0
64,11352359,11353488,1129,0
65,11402959,11404089,1130,1
66,11453560,11454694,1134,4
67,11504160,11505298,1138,4
68,11554760,11555891,1131,7
69,11605261,11606396,1135,4
70,11655861,11656973,1112,23
71,11706362,11707501,1139,27
72,11756962,11758078,1116,23
73,11807463,11808587,1124,8
74,11857963,11859104,1141,17
75,11908563,11909673,1110,31
76,11959064,11960201,1137,27
77,12009664,12010786,1122,15
78,12060165,12061303,1138,16
79,12110765,12111875,1110,28
80,12161265,12162380,1115,5
81,12211766,12212889,1123,8
82,12262266,12263382,1116,7
83,12312767,12313898,1131,15
84,12363367,12364499,1132,1
85,12413968,12415104,1136,4
86,12464568,12465713,1145,9
87,12515169,12516309,1140,5
88,12565769,12566914,1145,5
89,12616369,12617511,1142,3
90,12666970,12668092,1122,20
91,12717470,12718589,1119,3
92,12767971,12769105,1134,15
93,12818571,12819682,1111,23
94,12869071,12870207,1136,25
95,12919672,12920807,1135,1
96,12970272,12971408,1136,1
97,13020873,13022001,1128,8
98,13071473,13072586,1113,15
99,13121974,13123094,1120,7
100,13172474,13173611,1137,17
101,13223075,13224192,1117,20
102,13273575,13274701,1126,9
103,13324075,13325205,1130,4
104,13374576,13375702,1126,4
105,13425076,13426199,1123,3
106,13475677,13476800,1123,0
107,13526177,13527292,1115,8
108,13576678,13577797,1119,4
109,13627178,13628309,1131,12
110,13677778,13678902,1124,7
111,13728279,13729391,1112,12
112,13778779,13779916,1137,25
113,13829380,13830500,1120,17
114,13879880,13880993,1113,7
115,13930380,13931502,1122,9
116,13980881,13981999,1118,4
117,14031381,14032523,1142,24
118,14081982,14083120,1138,4
119,14132582,14133697,1115,23
120,14183082,14184206,1124,9
121,14233583,14234706,1123,1
122,14284084,14285207,1123,0
123,14334584,14335708,1124,1
124,14385084,14386224,1140,16
125,14435685,14436813,1128,12
126,14486285,14487418,1133,5
127,14536886,14538006,1120,13
128,14587386,14588523,1137,17
129,14637986,14639112,1126,11
130,14688487,14689637,1150,24
131,14739087,14740229,1142,8
132,14789688,14790810,1122,20
133,14840188,14841315,1127,5
134,14890689,14891808,1119,8
135,14941189,14942308,1119,0
136,14991690,14992829,1139,20
