SEQ,TX_TIME_US,RX_TIME_US,LATENCY_US,JITTER_US
0,410,1813,1403,0
1,51010,52287,1277,126
2,101610,102852,1242,35
3,152211,153465,1254,12
4,202810,204070,1260,6
5,253410,254687,1277,17
6,304010,305253,1243,34
7,354611,355878,1267,24
8,405210,406439,1229,38
9,455810,457064,1254,25
10,506409,507681,1272,18
11,557009,558290,1281,9
12,607610,608861,1251,30
13,658211,659465,1254,3
14,708810,710042,1232,22
15,759409,760668,1259,27
16,810009,811248,1239,20
17,860610,861851,1241,2
18,911211,912439,1228,13
19,961810,963060,1250,22
20,1012409,1013662,1253,3
21,1063009,1064270,1261,8
22,1113611,1114861,1250,11
23,1164210,1165469,1259,9
24,1214810,1216039,1229,30
25,1265409,1266671,1262,33
26,1316009,1317241,1232,30
27,1366611,1367863,1252,20
28,1417210,1418455,1245,7
29,1467810,1469057,1247,2
30,1518409,1519634,1225,22
31,1569009,1570282,1273,48
32,1619610,1620861,1251,22
33,1670211,1671497,1286,35
34,1720810,1722051,1241,45
35,1771409,1772668,1259,18
36,1822009,1823252,1243,16
37,1872611,1873863,1252,9
38,1923210,1924452,1242,10
39,1973811,1975057,1246,4
40,2024409,2025650,1241,5
41,2075009,2076267,1258,17
42,2125611,2126869,1258,0
43,2176211,2177462,1251,7
44,2226810,2228055,1245,6
45,2277409,2278672,1263,18
46,2328009,2329241,1232,31
47,2378610,2379855,1245,13
48,2429211,2430444,1233,12
49,2479810,2481053,1243,10
50,2530409,2531634,1225,18
51,2581009,2582271,1262,37
52,2631611,2632862,1251,11
53,2682210,2683494,1284,33
54,2732810,2734044,1234,50
55,2783409,2784665,1256,22
56,2834009,2835241,1232,24
57,2884610,2885872,1262,30
58,2935210,2936428,1218,44
59,2985811,2987050,1239,21
60,3036409,3037643,1234,5
61,3087009,3088263,1254,20
62,3137610,3138854,1244,10
63,3188210,3189459,1249,5
64,3238810,3240032,1222,27
65,3289409,3290673,1264,42
66,3340009,3341242,1233,31
67,3390610,3391836,1226,7
68,3441210,3442445,1235,9
69,3491810,3493054,1244,9
70,3542409,3543631,1222,22
71,3593009,3594260,1251,29
72,3643610,3644858,1248,3
73,3694210,3695487,1277,29
74,3744810,3746024,1214,63
75,3795409,3796661,1252,38
76,3846009,3847230,1221,31
77,3896610,3897861,1251,30
78,3947210,3948429,1219,32
79,3997811,3999066,1255,36
80,4048409,4049643,1234,21
81,4099009,4100268,1259,25
82,4149610,4150843,1233,26
83,4200211,4201479,1268,35
84,4250811,4252040,1229,39
85,4301409,4302649,1240,11
86,4352009,4353238,1229,11
87,4402610,4403853,1243,14
88,4453210,4454429,1219,24
89,4503811,4505058,1247,28
90,4554409,4555635,1226,21
91,4605009,4606260,1251,25
92,4655610,4656847,1237,14
93,4706211,4707467,1256,19
94,4756811,4758020,1209,47
95,4807409,4808674,1265,56
96,4858009,4859258,1249,16
97,4908611,4909869,1258,9
98,4959211,4960426,1215,43
99,5009810,5011067,1257,42
100,5060409,5061632,1223,34
101,5111009,5112253,1244,21
102,5161610,5162832,1222,22
103,5212210,5213476,1266,44
104,5262810,5264041,1231,35
105,5313409,5314658,1249,18
106,5364009,5365239,1230,19
107,5414610,5415854,1244,14
108,5465210,5466426,1216,28
109,5515811,5517055,1244,28
110,5566409,5567636,1227,17
111,5617009,5618249,1240,13
112,5667610,5668844,1234,6
113,5718210,5719452,1242,8
114,5768810,5770049,1239,3
115,5819409,5820670,1261,22
116,5870009,5871231,1222,39
117,5920610,5921854,1244,22
118,5971211,5972442,1231,13
119,6021810,6023051,1241,10
